studentid,fullname,addressid,age,phone,classid,addressid,address,scoreid,courseid,studentid,score,classid,classname,classlanguage,classdescription
10,"Jane Le",5,23,012-345-6789,5,5,"202 Cau Giay",1,1,1,85,1,"Intro to Programming",Python,"Learn the basics of programming using Python."
10,"Jane Le",5,23,012-345-6789,5,4,"101 Hai Ba Trung",1,1,1,85,1,"Intro to Programming",Python,"Learn the basics of programming using Python."
10,"Jane Le",5,23,012-345-6789,5,3,"789 Ba Dinh",1,1,1,85,1,"Intro to Programming",Python,"Learn the basics of programming using Python."
10,"Jane Le",5,23,012-345-6789,5,2,"456 Hoan Kiem",1,1,1,85,1,"Intro to Programming",Python,"Learn the basics of programming using Python."
10,"Jane Le",5,23,012-345-6789,5,1,"123 Thanh Xuan",1,1,1,85,1,"Intro to Programming",Python,"Learn the basics of programming using Python."
10,"Jane Le",5,23,012-345-6789,5,5,"202 Cau Giay",1,1,1,85,2,"Web Development",JavaScript,"Build modern web applications using JavaScript."
10,"Jane Le",5,23,012-345-6789,5,4,"101 Hai Ba Trung",1,1,1,85,2,"Web Development",JavaScript,"Build modern web applications using JavaScript."
10,"Jane Le",5,23,012-345-6789,5,3,"789 Ba Dinh",1,1,1,85,2,"Web Development",JavaScript,"Build modern web applications using JavaScript."
10,"Jane Le",5,23,012-345-6789,5,2,"456 Hoan Kiem",1,1,1,85,2,"Web Development",JavaScript,"Build modern web applications using JavaScript."
10,"Jane Le",5,23,012-345-6789,5,1,"123 Thanh Xuan",1,1,1,85,2,"Web Development",JavaScript,"Build modern web applications using JavaScript."
10,"Jane Le",5,23,012-345-6789,5,5,"202 Cau Giay",1,1,1,85,3,"Data Analysis",R,"Analyze and visualize data using R."
10,"Jane Le",5,23,012-345-6789,5,4,"101 Hai Ba Trung",1,1,1,85,3,"Data Analysis",R,"Analyze and visualize data using R."
10,"Jane Le",5,23,012-345-6789,5,3,"789 Ba Dinh",1,1,1,85,3,"Data Analysis",R,"Analyze and visualize data using R."
10,"Jane Le",5,23,012-345-6789,5,2,"456 Hoan Kiem",1,1,1,85,3,"Data Analysis",R,"Analyze and visualize data using R."
10,"Jane Le",5,23,012-345-6789,5,1,"123 Thanh Xuan",1,1,1,85,3,"Data Analysis",R,"Analyze and visualize data using R."
10,"Jane Le",5,23,012-345-6789,5,5,"202 Cau Giay",1,1,1,85,4,"Machine Learning",Python,"Introduction to machine learning concepts and algorithms."
10,"Jane Le",5,23,012-345-6789,5,4,"101 Hai Ba Trung",1,1,1,85,4,"Machine Learning",Python,"Introduction to machine learning concepts and algorithms."
10,"Jane Le",5,23,012-345-6789,5,3,"789 Ba Dinh",1,1,1,85,4,"Machine Learning",Python,"Introduction to machine learning concepts and algorithms."
10,"Jane Le",5,23,012-345-6789,5,2,"456 Hoan Kiem",1,1,1,85,4,"Machine Learning",Python,"Introduction to machine learning concepts and algorithms."
10,"Jane Le",5,23,012-345-6789,5,1,"123 Thanh Xuan",1,1,1,85,4,"Machine Learning",Python,"Introduction to machine learning concepts and algorithms."
10,"Jane Le",5,23,012-345-6789,5,5,"202 Cau Giay",1,1,1,85,5,"Database Systems",SQL,"Learn about relational databases and SQL."
10,"Jane Le",5,23,012-345-6789,5,4,"101 Hai Ba Trung",1,1,1,85,5,"Database Systems",SQL,"Learn about relational databases and SQL."
10,"Jane Le",5,23,012-345-6789,5,3,"789 Ba Dinh",1,1,1,85,5,"Database Systems",SQL,"Learn about relational databases and SQL."
10,"Jane Le",5,23,012-345-6789,5,2,"456 Hoan Kiem",1,1,1,85,5,"Database Systems",SQL,"Learn about relational databases and SQL."
10,"Jane Le",5,23,012-345-6789,5,1,"123 Thanh Xuan",1,1,1,85,5,"Database Systems",SQL,"Learn about relational databases and SQL."
9,"Ian Tran",4,21,901-234-5678,4,5,"202 Cau Giay",1,1,1,85,1,"Intro to Programming",Python,"Learn the basics of programming using Python."
9,"Ian Tran",4,21,901-234-5678,4,4,"101 Hai Ba Trung",1,1,1,85,1,"Intro to Programming",Python,"Learn the basics of programming using Python."
9,"Ian Tran",4,21,901-234-5678,4,3,"789 Ba Dinh",1,1,1,85,1,"Intro to Programming",Python,"Learn the basics of programming using Python."
9,"Ian Tran",4,21,901-234-5678,4,2,"456 Hoan Kiem",1,1,1,85,1,"Intro to Programming",Python,"Learn the basics of programming using Python."
9,"Ian Tran",4,21,901-234-5678,4,1,"123 Thanh Xuan",1,1,1,85,1,"Intro to Programming",Python,"Learn the basics of programming using Python."
